strain_original,accession,authors,institution,date
MPXV_USA_2022_TX0017,OQ054239,"Gigante,C., Kubin,G., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Sheth,M.R., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., White,S., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
LBMB-UTP_MP-019_VAC,OQ148472,"Tabares,F.A., Anacona,J.D., Lopez,P.A., Orjuela,M., Zuluaga-Velez,A., Sepulveda-Arias,J.C.","Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud",2022-11-11
MPXV_UK_2022_9000071,OP205077,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-09
CMIP-P0,OQ249661,"Baliere,C., Hourdel,V., Kwasiborski,A., Grassin,Q., Feher,M., Hoinard,D., Vanhomwegen,J., Taieb,F., Consigny,P.-H., Manuguerra,J.-C., Leclercq,I., Batejat,C., Caro,V.","Insitut Pasteur, Environment and Infectious Risks Unit",2022-06-14
MPXV/Germany/2022/RKI481,OP626119,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MPXV/Germany/2022/RKI091,ON853671,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MPXV_UK_2022_9000184,OP205129,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-30
Monkeypox virus/Human/USA/CA-LACPHL-MA00377/2022,OQ330982,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-09
MPXV/Human/USA/CA-LACPHL-MA00324/2022,OP890529,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-26
CUN_INS_MPX_0748_L,OP693655,"Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-09-03
MPXV/Human/USA/CA-LACPHL-MA00352/2022,OP920690,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-11
Monkeypox/PT0581/2022,OP555652,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-07-28
MPXV/Human/USA/UT-UPHL-82200096/2022,OP743361,"Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.",Utah Public Health Laboratory,2022-07-21
MPXV/Human/USA/CA-LACPHL-MA00343/2022,OP920681,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-10
hMPXV/USA/NC-UNC-0003/2022,OP480404,"Deanhardt,B., Miller,M., Wang,J.R.","University of North Carolina at Chapel Hill, Department of Genetics",2022-08-04
Monkeypox/PT0033/2022,ON843165,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.",,2022-05-24
MPXV/Germany/2022/RKI282,OP270471,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Friesen,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-08-XX
MpxV/human/USA/WA-UW-098347/2022,OP743970,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV-USA-IL-IDPH-039,OP536700,"Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry",2022-06-19
hMPXV-IHU00013,OP382490,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-20
MPX/UZ_REGA_4/Belgium/2022,ON880420,"Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.",,2022-05-27
MPX/Human/USA/CA-LACPHL-MA00139/2022,OP539924,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-04
MpxV/human/CAN/UN-NML-3702/2022,ON983166,"Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-15
MPXV/Germany/2022/RKI089,ON853669,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MPXV_UK_2022_9000107,OP205095,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-13
MPXV-USA-IL-IDPH-079,OP536740,"Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry",2022-07-02
MPXV_UK_2022_9000142,OP205105,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-15
MPXV/Human/USA/CA-LACPHL-MA00353/2022,OP920691,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-12
MPXV/Germany/2022/RKI284,OP270473,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Friesen,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-08-XX
B1118395,OP751214,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-09-03
MPXV_UK_2022_9000062,OP205068,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-05
Monkeypox/PT0412/2022,OP555505,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-07-25
MPXV/Germany/2022/RKI556,OP764614,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-06-XX
MPXV/Germany/2022/RKI036,ON755242,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MpxV/human/USA/WA-UW-089714/2022,OP310057,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV22/human/USA-OK-288,OP604567,"Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., O'Dell,J.X., Mannell,M., Wiley,M.R., Cross,S.T.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-09-12
hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022,ON792321,"Kufner,V., Ziltener,G., Zaheri,M., Schmutz,S., Audige,A., Bernasconi,O., Steiner,K., Huder,J., Shah,C., Capaul,R., Bloemberg,G., Boeni,J., Huber,M., Trkola,A.",,2022-06-02
CVR_MPXV1a,ON808413,"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.",,2022-05-15
NJ-MPXV-013-rep2,OP879733,"Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories",2022-08-17
MPXV/Human/USA/CA-CDPH-MPX000019/2022,OP587248,"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL",2022-07-08
NJ-MPXV-015-rep2,OP879735,"Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories",2022-09-16
MPX/Human/USA/CA-LACPHL-MA00102/2022,OP539887,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-01
hMPX/Human/USA/CA-LACPHL-MA00053/2022,OP440544,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-25
MPXV_USA_2022_GA0020,OQ054219,"Gigante,C., Pavlick,J., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Parrott,T., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
hMpxV/Human/USA/IL-RIPHL-MPXV_10007/2022,OP820456,"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.","Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)",2022-09-08
MPXV/Human/USA/CA-LACPHL-MA00339/2022,OP920677,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-13
MPXV/Germany/2022/RKI04,ON682265,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
MpxV/human/USA/WA-UW-098055/2022,OP628491,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
hMPX/Human/USA/CA-LACPHL-MA00066/2022,OP442542,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-18
Monkeypox virus/Human/USA/CA-LACPHL-MA00267/2022,OP748953,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-30
Monkeypox virus/Human/USA/CA-LACPHL-MA00226/2022,OP680504,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-03
MPXV/Germany/2022/RKI582,OP837344,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-06-XX
MpxV/human/USA/WA-UW-092990/2022,OP743991,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MpxV/human/USA/WA-UW-085684/2022,OP257259,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV/ES0001/HUGTiP/2022,ON622718,"Martinez-Puchol,S., Coello,A., Bordoy,A.E., Soler,L., Panisello,D., Gonzalez-Gomez,S., Clara,G., Paris de Leon,A., Not,A., Hernandez,A., Bofill-Mas,S., Saludes,V., Blanco,I., Martro,E., Cardona,P.-J.","Microbiology, Hospital Universitari Germans Trias i Pujol, Spain",2022-05-20
MPXV/Germany/2022/RKI073,ON853651,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.",,2022-06-XX
MPXV_USA_2022_NY0017,OQ099605,"Gigante,C., Ruiz,V., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,J., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
MPXV/Germany/2022/RKI554,OP715834,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-06-XX
hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022,OP820460,"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.","Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)",2022-09-10
MPXV_UK_2022_9000149,OP205112,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-14
hMPXV/Austria/MUW1533948/2022,OP422340,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",2022-07-13
MPXV/Human/USA/CA-CDPH-MPX000033/2022,OP587257,"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL",2022-08-01
ANT-LDSP-ANT-MPX-24913-O,OP642386,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-09-09
MPXV/Germany/2022/RKI095,ON853674,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MpxV/human/USA/WA-UW-090263/2022,OP743965,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
hMPXV-CH-38212023/2022,OP422245,"Laubscher,F., Chudzinsk,V., Cordey,S., Schibler,M., Kaiser,L., Renzoni,A.","University Hospitals of Geneva, Laboratory of Virology",2022-05-30
MPXV/Human/USA/UT-UPHL-82200116/2022,OP743363,"Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.",Utah Public Health Laboratory,2022-07-22
Monkeypox/PT0207/2022,OP324517,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-22
MpxV/human/USA/WA-UW-070134/2022,OP123041,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",2022-07-XX
ANT-LDSP-ANT-MPX-23114-C,OP477450,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-23
MPXV_USA_2022_FL0027,OP881946,"Gigante,C., Lee,P., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Stanek,D., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
hMpxV/UK/LMO-023a/2022,OP390192,"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.","Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory",2022-06-24
9000398,OP536776,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
MpxV/human/USA/WA-UW-099479/2022,OP743968,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV/Germany/2022/RKI485,OP626123,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
VAC_INS_MPX_1052_E,OP837471,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-25
MPXV_UK_2022_9000144,OP205107,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-16
ANT-LDSP-ANT-MPX-28290C,OQ261701,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-13
Monkeypox virus/Human/USA/CA-LACPHL-MA00282/2022,OP748968,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-13
MPXV/Germany/2022/RKI185,OP018607,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MPX_UbfBKN_9000239,OP415213,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
MPXV/Germany/2022/RKI017,ON694338,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
hMpxV/USA/CA-CDPH-1000084/2022,OQ121038,"Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.","CDPH, VRDL",2022-07-08
MPXV/Human/USA/CA-LACPHL-MA00305/2022,OP890539,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-28
MPXV/Human/USA/CA-LACPHL-MA00348/2022,OP920686,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-06
MPXV_USA_2022_MD0003,OP604528,"Gigante,C.M., Myers,R., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Knipe,K., Burroughs,S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.","CDC, DHCPP-PRB",2022-06-XX
CVR_MPXV1d,ON808416,"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.",,2022-05-15
MPX_96X1Vd_9000217,OP415195,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-03-XX
INMI-Pt3,ON780016,"Rueca,M., Giombini,E., Gruber,C.E.M., Gramigna,G., Mazzotta,V., Carletti,F., Lapa,D., Pittalis,S., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Nicastri,E., Antinori,A., Girardi,E., Maggi,F.","INMI Lazzaro Spallanzani IRCCS, Laboratory of Virology",2022-05-19
MPXV/Germany/2022/RKI093,ON853672,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MPXV/Germany/2022/RKI151,ON959165,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-07-XX
MPXV/Human/USA/AL-USAFSAM-M0001a/2022,OP598102,"Fries,A.","US Air Force, USAFSAM",2022-09-06
Monkeypox virus/Human/USA/CA-LACPHL-MA00228/2022,OP680506,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-04
hMPXV-IHU00002,OP382479,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-01
MPXV_USA_2022_CA0010,OP881942,"Gigante,C., Ventura,J., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
MPXV_USA_2022_TN0005,OP450992,"Gigante,C.M., Thomas,L., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Dunn,J., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
NJ-MPXV-001,OP879722,"Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories",2022-07-26
MPX/Human/USA/CA-LACPHL-MA00105/2022,OP539890,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-24
VAC_INS_MPX_1050_C,OP837481,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-26
MPXV/Human/USA/CA-LACPHL-MA00321/2022,OP890525,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-27
MPXV/Human/USA/CA-LACPHL-MA00325/2022,OP890553,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
hMPXV-IHU00009,OP382486,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-07
hMPXV/USA/NC-UNC-0004/2022,OP480405,"Deanhardt,B., Miller,M., Wang,J.R.","University of North Carolina at Chapel Hill, Department of Genetics",2022-08-02
MpxV/human/USA/OH-UW-085556/2022,OP310049,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV/Germany/2022/RKI529,OP689682,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MPXV22/human/USA-OK-302,OP604569,"Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., O'Dell,J.X., Mannell,M., Wiley,M.R., Cross,S.T.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-09-14
VAC_INS_MPX_0955_C,OP819949,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-11
MPXV_USA_2022_NC0012,OQ054227,"Gigante,C., Pettit,D., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Deutsch-Feldman,M., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
